No.,Package Name,Total Package Cost,Total Qualifying Cost,Solution Details,Cost Item
Option 4,Carbonate HR Version 1 - Power 150,"$21,600.00","$21,600.00",https://www.gobusiness.gov.sg/images/psg/Carbonate_HR_20210495_Desensitised_Annex_3_Part_4.pdf,"1)
Software
150 user Licence for 1 year
(Package is inclusive of Personnel management;
Attendance Management; Payroll management;
Leave Management; Benefits and Claims
Management; and Performance Appraisal
Management modules)
2) Hardware
Not Applicable
3)
Professional Services
Onboarding of users and data migration
4)
Training
Training for staff
5) Others
Not Applicable"
Option 5,Carbonate HR Version 1 - Power 200,"$26,400.00","$26,400.00",https://www.gobusiness.gov.sg/images/psg/Carbonate_HR_20210495_Desensitised_Annex_3_Part_5.pdf,"1)
Software
200 user Licence for 1 year
(Package is inclusive of Personnel management;
Attendance Management; Payroll management;
Leave Management; Benefits and Claims
Management; and Performance Appraisal
Management modules)
2) Hardware
Not Applicable
3)
Professional Services
Onboarding of users and data migration
4)
Training
Training for staff
5) Others
Not Applicable"
Option 1,Adaptive Pay Version 2022 - Package 1,"$3,000.00","$2,560.00",https://www.gobusiness.gov.sg/images/psg/Adaptive_Cloud_20210527_Desensitised_Annex_3_Part_1.pdf,"1)
Software
Adaptive PAY Version 2022
Package (15 employees)
(2 backend users)
- Payroll Management 
- Personnel Management 
- Leave Management 
- Claim Management 
- Appraisal Management 
- eLeave Module
- eClaim Module
- eAppraisal Module
- eAttendance
2) Hardware
Not Applicable
3)
Professional Services
a. Data Import 
Employee Masters from Excel (up to 15 employees)
b. Setup and Configuration of HR System
4)
Training
Training - 2 Hours Session
5) Others
Not Applicable"
Option 2,Adaptive Pay Version 2022 - Package 2,"$5,700.00","$5,500.00",https://www.gobusiness.gov.sg/images/psg/Adaptive_Cloud_20210527_Desensitised_Annex_3_Part_2.pdf,"1)
Software
Adaptive PAY Version 2022
Package (16-35 Employees)
(3 backend users)
- Payroll Management 
- Personnel Management 
- Leave Management 
- Claim Management 
- Appraisal Management 
- eLeave Module
- eClaim Module
- eAppraisal Module
- eAttendance
2) Hardware
Not Applicable
3)
Professional Services
a. Data Import 
Employee Masters from Excel (up to 35 employees)
b. Setup and Configuration of HR System
4)
Training
Training - 2 Hours Session
5) Others
Not Applicable"
Option 3,Adaptive Pay Version 2022 - Package 3,"$8,400.00","$8,100.00",https://www.gobusiness.gov.sg/images/psg/Adaptive_Cloud_20210527_Desensitised_Annex_3_Part_3.pdf,"1)
Software
Adaptive PAY Version 2022
Package (36-60 Employees)
(4 backend users)
- Payroll Management 
- Personnel Management 
- Leave Management 
- Claim Management 
- Appraisal Management 
- eLeave Module
- eClaim Module
- eAppraisal Module
- eAttendance
2) Hardware
Not Applicable
3)
Professional Services
a. Data Import 
Employee Masters from Excel (up to 60 employees)
b. Setup and Configuration of HR System
4)
Training
Training - 3 Hours Session
5) Others
Not Applicable"
Option 4,Adaptive Pay Version 2022 - Package 4,"$12,300.00","$11,700.00",https://www.gobusiness.gov.sg/images/psg/Adaptive_Cloud_20210527_Desensitised_Annex_3_Part_4.pdf,"1)
Software
Adaptive PAY Version 2022
Package (61-120 Employees)
(6 backend users)
- Payroll Management 
- Personnel Management 
- Leave Management 
- Claim Management 
- Appraisal Management 
- eLeave Module
- eClaim Module
- eAppraisal Module
- eAttendance
2) Hardware
Not Applicable
3)
Professional Services
a. Data Import 
Employee Masters from Excel (up to 120
employees)
b. Setup and Configuration of HR System
4)
Training
Training - 3 Hours Session
5) Others
Not Applicable"
Option 5,Adaptive Pay Version 2022 - Package 5,"$17,900.00","$17,100.00",https://www.gobusiness.gov.sg/images/psg/Adaptive_Cloud_20210527_Desensitised_Annex_3_Part_5.pdf,"1)
Software
Adaptive PAY Version 2022
Package (121-200 Employees)
(8 backend users)
- Payroll Management 
- Personnel Management 
- Leave Management 
- Claim Management 
- Appraisal Management 
- eLeave Module
- eClaim Module
- eAppraisal Module
- eAttendance
2) Hardware
Not Applicable
3)
Professional Services
a. Data Import 
Employee Masters from Excel (up to 200
employees)
b. Setup and Configuration of HR System
4)
Training
Training - 3 Hours Session
5) Others
Not Applicable"
Option 1,Frontier e-HR Version 8 - AutomateHR eFrontier - 25 Users,"$6,200.00","$6,200.00",https://www.gobusiness.gov.sg/images/psg/Frontier_e-HR_Pte_Ltd_20220021_Desensitised_Annex_3_Part_1.pdf,"1)
Software
Software Usage Subscription for 1 year (Block of 25
User Subscriptions)
Features:
1. Personnel Management System
2. Payroll Software
3. Employee Claims and Benefits
4. Leave Management System
5. Performance Appraisal System
6. Employee Self Service
7. Mobile e-HR
2) Hardware
Not Applicable
3)
Professional Services
Guiding user on system configuration and data
import
4)
Training
Public class admin training to guide users on how to
maximize full usage of Frontier e-HR
5) Others
Not Applicable"
Option 2,Frontier e-HR Version 8 - AutomateHR eFrontier - 50 Users,"$10,000.00","$10,000.00",https://www.gobusiness.gov.sg/images/psg/Frontier_e-HR_Pte_Ltd_20220021_Desensitised_Annex_3_Part_2.pdf,"1)
Software
Software Usage Subscription for 1 year
(Block of 50 User Subscriptions)
Features:
1. Personnel Management System
2. Payroll Software
3. Employee Claims and Benefits
4. Leave Management System
5 Performance Appraisal System
6. Employee Self Service
7. Mobile e-HR
2) Hardware
Not Applicable
3)
Professional Services
Guiding user on system configuration and data
import
4)
Training
Public class training to guide user on how to
maximize full usage of Frontier e-HR
5) Others
Not Applicable"
Option 3,Frontier e-HR Version 8 - AutomateHR eFrontier - 100 Users,"$17,000.00","$17,000.00",https://www.gobusiness.gov.sg/images/psg/Frontier_e-HR_Pte_Ltd_20220021_Desensitised_Annex_3_Part_3.pdf,"1)
Software
Software Usage Subscription for 1 year
(Block of 100 User Subscriptions)
Features:
1. Personnel Management System
2. Payroll Software
3. Employee Claims and Benefits
4. Leave Management System
5. Performance Appraisal System
6. System Employee Self Service
7. Mobile e-HR
2) Hardware
Not Applicable
3)
Professional Services
Guiding user on system configuration and data
import
4)
Training
Public class training to guide user on how to
maximize usage of Frontier e-HR
5) Others
Not Applicable"
Option 4,Frontier e-HR Version 8 - AutomateHR eFrontier - 150 Users,"$22,600.00","$22,600.00",https://www.gobusiness.gov.sg/images/psg/Frontier_e-HR_Pte_Ltd_20220021_Desensitised_Annex_3_Part_4.pdf,"1)
Software
Software Usage Subscription for 1 year 
(Block of 150 User Subscriptions)
Features:
1. Personnel Management System
2. Payroll Software
3. Employee Claims and Benefits
4. Leave Management System
5. Performance Appraisal System
6. Employee Self Service
7. Mobile e-HR
2) Hardware
Not Applicable
3)
Professional Services
Guiding user on system configuration and data
import
4)
Training
Public class training to guide user on how to
maximize full usage of Frontier e-HR
5) Others
Not Applicable"
Option 5,Frontier e-HR Version 8 - AutomateHR eFrontier - 200 Users,"$29,200.00","$28,800.00",https://www.gobusiness.gov.sg/images/psg/Frontier_e-HR_Pte_Ltd_20220021_Desensitised_Annex_3_Part_5.pdf,"1)
Software
Software Usage Subscription for 1 year
(Block of 200 User Subscriptions)
Features:
1. Personnel Management System
2. Payroll Software
3. Claims and Benefits Management System
4. Leave Management System
5. Performance Appraisal System
6. Employee Self Service
7. Mobile e-HR
2) Hardware
Not Applicable
3)
Professional Services
Guiding user on system configuration and data
import
4)
Training
Public class training to guide user on how to
maximize full usage of Frontier e-HR
5) Others
Not Applicable"
Option 1,SYNERGIX Version TH6 - Package A: HRMS Standard,"$39,420.00","$22,200.00",https://www.gobusiness.gov.sg/images/psg/Synergix_SYNERGIX_Version_TH6_Desensitised_Part1.pdf,"1)
Software
Software. 
* Synergix HR Solution License Fees (unlimited 
users). 
* Module includes: Personnel management, Payroll, 
eLeave, TMS (Android App), Benefits and Claims 
Management, and Performance Appraisal 
Management
2)
Hardware
Not Applicable
3)
Professional Services
Project Management Service. 
* Project Management Service fees quoted is based 
on the modules stated and for one company only.
Implementation Service. 
* Implementation Service fees quoted is based on the 
modules stated and for one company only.  
* Each implementation will be carried out by 1-2 
people. 
* Hours will be deducted according to the number of 
people carrying out the implementation.  
* Each manday is 6 hours.
Project Installation Fee
4)
Training
Training. 
* Training fees quoted is based on the modules stated 
and for one company only. Training will be conducted 
in Synergix office by our Functional Consultant. Our 
1/2 manday of training is equal to 3 man hours.
5)
Others
Not Applicable"
Option 1,(SaaS) JustLogin HR Cloud - A (Up to 15 pax),"$4,560.00","$4,560.00",https://www.gobusiness.gov.sg/images/psg/JustLogin_Desensitised_Annex_3_wef_7_July_2022_Part_1.pdf,"1)
Software
Subscription fee for 1 year with block of 15 pax, per
block includes: Payroll; Leave; Attendance;
Expense; Benefit; People; Appraisal
2) Hardware
Not Applicable
3)
Professional Services
Set Up (1.5 Mandays)
4)
Training
Online Training (up to 2 administrators)
5) Others
Not Applicable"
Option 2,(SaaS) JustLogin HR Cloud - B (Up to 50 pax),"$10,800.00","$10,800.00",https://www.gobusiness.gov.sg/images/psg/JustLogin_Desensitised_Annex_3_wef_7_July_2022_Part_2.pdf,"1)
Software
Subscription fee for 1 year with block of 50 pax, per
block includes: Payroll; Leave; Attendance;
Expense; Benefit; People; Appraisal
2) Hardware
Not Applicable
3)
Professional Services
Set Up (3 Mandays)
4)
Training
Online Training (up to 2 administrators)
5) Others
Not Applicable"
Option 3,(SaaS) JustLogin HR Cloud - C (Up to 100 pax),"$19,200.00","$19,200.00",https://www.gobusiness.gov.sg/images/psg/JustLogin_Desensitised_Annex_3_wef_7_July_2022_Part_3.pdf,"1)
Software
Subscription fee for 1 year with block of 100 pax, per
block includes: Payroll; Leave; Attendance;
Expense; Benefit; People; Appraisal
2) Hardware
Not Applicable
3)
Professional Services
Set Up (4.5 Mandays)
4)
Training
Online Training (up to 2 administrators)
5) Others
Not Applicable"
Option 4,(SaaS) JustLogin HR Cloud - D (Up to 150 pax),"$25,800.00","$25,000.00",https://www.gobusiness.gov.sg/images/psg/JustLogin_Desensitised_Annex_3_wef_7_July_2022_Part_4.pdf,"1)
Software
Subscription fee for 1 year with block of 150 pax, per
block includes: Payroll; Leave; Attendance;
Expense; Benefit; People; Appraisal
2) Hardware
Not Applicable
3)
Professional Services
Set Up (6 Mandays)
4)
Training
Online Training (up to 2 administrators)
5) Others
Not Applicable"
Option 5,(SaaS) JustLogin HR Cloud - E (Up to 200 pax),"$31,200.00","$29,200.00",https://www.gobusiness.gov.sg/images/psg/JustLogin_Desensitised_Annex_3_wef_7_July_2022_Part_5.pdf,"1)
Software
Subscription fee for 1 year with block of 200 pax, per
block includes: Payroll; Leave; Attendance;
Expense; Benefit; People; Appraisal
2) Hardware
Not Applicable
3)
Professional Services
Set Up (7.5 Mandays)
4)
Training
Online Training (up to 2 administrators)
5) Others
Not Applicable"
Option 1,PayAdvisorMobile HRMS - Tier 1 (up to 25 users),"$5,600.00","$4,950.00",https://www.gobusiness.gov.sg/images/psg/capps_Desensitised_Annex_3_21July2022_Part_1.pdf,"1)
Software
Service Contract : 1-25 Employees for 1 Year 
Personnel Administration, Time & Attendance,
Leave, Benefits, Claim and Performance Appraisal
Modules with comprehensive HR Analytics
Dashboard
2) Hardware
Not Applicable
3)
Professional Services
Software setup, configuration and implementation
4)
Training
Training for administrators and employees for web
and mobile platforms (1.5 hrs)
5) Others
Not Applicable"
Option 2,PayAdvisorMobile HRMS - Tier 2 (up to 50 users),"$7,650.00","$7,350.00",https://www.gobusiness.gov.sg/images/psg/capps_Desensitised_Annex_3_21July2022_Part_2.pdf,"1)
Software
Service Contract : 26-50 Employees for 1 Year
Personnel Administration, Time & Attendance,
Leave, Benefits, Claim and Performance Appraisal
Modules with comprehensive HR Analytics
Dashboard
2) Hardware
Not Applicable
3)
Professional Services
Software setup, configuration and implementation
4)
Training
Training for administrators and employees for web
and mobile platforms (3 hours)
5) Others
Not Applicable"
Option 3,PayAdvisorMobile HRMS - Tier 3 (up to 100 users),"$11,150.00","$10,850.00",https://www.gobusiness.gov.sg/images/psg/capps_Desensitised_Annex_3_21July2022_Part_3.pdf,"1)
Software
Service Contract : 51-100 Employees for 1 Year
Personnel Administration, Time & Attendance,
Leave, Benefits, Claim and Performance Appraisal
Modules with comprehensive HR Analytics
Dashboard
2) Hardware
Not Applicable
3)
Professional Services
Software setup, configuration and implementation
4)
Training
Training for administrators and employees for web
and mobile platforms (3 hours)
5) Others
Not Applicable"
Option 4,PayAdvisorMobile HRMS - Tier 4 (up to 150 users),"$16,450.00","$16,150.00",https://www.gobusiness.gov.sg/images/psg/capps_Desensitised_Annex_3_21July2022_Part_4.pdf,"1)
Software
Service Contract : 101-150 Employees for 1 Year
Personnel Administration, Time & Attendance,
Leave, Benefits, Claim and Performance Appraisal
Modules with comprehensive HR Analytics
Dashboard
2) Hardware
Not Applicable
3)
Professional Services
Software setup, configuration and implementation
4)
Training
Training for administrators and employees for web
and mobile platforms (3 hours)
5) Others
Not Applicable"
Option 5,PayAdvisorMobile HRMS - Tier 5 (up to 200 users),"$20,550.00","$19,950.00",https://www.gobusiness.gov.sg/images/psg/capps_Desensitised_Annex_3_21July2022_Part_5.pdf,"1)
Software
Service Contract : 151-200 Employees for 1 Year
Personnel Administration, Time & Attendance,
Leave, Benefits, Claim and Performance Appraisal
Modules with comprehensive HR Analytics
Dashboard
2) Hardware
Not Applicable
3)
Professional Services
Software setup, configuration and implementation
4)
Training
Training for administrators and employees for web
and mobile platforms (3 hours)
5) Others
Not Applicable"
Option 1,(A.I.) INFO-TECH Cloud HRMS Version 8.0 - Package (InfoHRMS Lite 25),"$5,700.00","$5,700.00",https://www.gobusiness.gov.sg/images/psg/info_20220188_Desensitised_Annex_3__Part_1.pdf,"1)
Software
Mobile Time Attendance, Personnel Management,
Payroll Management, Leave Management, Benefits
and Claims Management, Performance Appraisal
Management (up to 25 users)
2) Hardware
Not Applicable
3)
Professional Services
Software Setup and Configuration
4)
Training
Software Training
5) Others
Not Applicable"
Option 2,(A.I.) INFO-TECH Cloud HRMS Version 8.0 - Package (InfoHRMS Lite 50),"$9,300.00","$9,300.00",https://www.gobusiness.gov.sg/images/psg/info_20220188_Desensitised_Annex_3__Part_2.pdf,"1)
Software
Mobile Time Attendance, Personnel Management,
Payroll Management, Leave Management, Benefits
and Claims Management, Performance Appraisal
Management (up to 50 users)
2) Hardware
Not Applicable
3)
Professional Services
Software Setup and Configuration
4)
Training
Software Training
5) Others
Not Applicable"
Option 3,(A.I.) INFO-TECH Cloud HRMS Version 8.0 - Package (InfoHRMS Pro 100),"$16,700.00","$16,700.00",https://www.gobusiness.gov.sg/images/psg/info_20220188_Desensitised_Annex_3__Part_3.pdf,"1)
Software
Mobile Time Attendance, Personnel Management,
Payroll Management, Leave Management, Benefits
and Claims Management, Performance Appraisal
Management (up to 100 users)
2) Hardware
Not Applicable
3)
Professional Services
Software setup, configuration and implementation
One day onsite pre-implementation consultation
4)
Training
Software Training
5) Others
Not Applicable"
Option 4,(A.I.) INFO-TECH Cloud HRMS Version 8.0 - Package (InfoHRMS Pro 150),"$25,300.00","$24,400.00",https://www.gobusiness.gov.sg/images/psg/info_20220188_Desensitised_Annex_3__Part_4.pdf,"1)
Software
Mobile Time Attendance, Personnel Management,
Payroll Management, Leave Management, Benefits
and Claims Management, Performance Appraisal
Management (up to 150 users)
2) Hardware
Not Applicable
3)
Professional Services
Software setup and configuration
One day onsite pre-implementation consultation
Onsite post-implementation review
4)
Training
Software Training
5) Others
Not Applicable"
Option 5,(A.I.) INFO-TECH Cloud HRMS Version 8.0 - Package (InfoHRMS Pro 200),"$32,700.00","$30,400.00",https://www.gobusiness.gov.sg/images/psg/info_20220188_Desensitised_Annex_3__Part_5.pdf,"1)
Software
Mobile Time Attendance, Personnel Management,
Payroll Management, Leave Management, Benefits
and Claims Management, Performance Appraisal
Management (up to 200 users)
2) Hardware
Not Applicable
3)
Professional Services
Software setup, configuration and implementation
One day onsite pre-implementation consultation
Onsite post-implementation review
4)
Training
Software Training
5) Others
Not Applicable"
Option 1,Classic HRMS 10,"$1,600.00","$1,600.00",https://www.gobusiness.gov.sg/images/psg/Yuvo_Desensitised_Annex_3__Part_1.pdf,"1)
Software
Yuvo - Classic HRMS 10 (up to 10 users)
License Plan is inclusive of:
6 Core Modules
- Employee Data Management 
- Leave Management
- Payroll Management
- Expense Management
- Time & Attendance
- Performance Management
Supported with AI-powered chatbot assistant and file
storage for storing employee documents, payslips,
corporate handbook, and reports.
2) Hardware
Not Applicable
3)
Professional Services
- Administrative Management
- Onboarding, Implementation & Services
4)
Training
Online User Training:
For administrators and employees
5) Others
Not Applicable"
Option 2,Classic HRMS 25,"$3,750.00","$3,750.00",https://www.gobusiness.gov.sg/images/psg/Yuvo_Desensitised_Annex_3__Part_2.pdf,"1)
Software
Yuvo - Classic HRMS 25 (up to 25 users)
License Plan is inclusive of:
6 Core Modules
- Employee Data Management 
- Leave Management
- Payroll Management
- Expense Management
- Time & Attendance
- Performance Management
Supported with AI-powered chatbot assistant and file
storage for storing employee documents, payslips,
corporate handbook, and reports.
2) Hardware
Not Applicable
3)
Professional Services
- Administrative Management
- Onboarding, Implementation & Services
4)
Training
Online User Training:
For administrators and employees
5) Others
Not Applicable"
Option 3,Classic HRMS 50,"$6,400.00","$6,400.00",https://www.gobusiness.gov.sg/images/psg/Yuvo_Desensitised_Annex_3__Part_3.pdf,"1)
Software
Yuvo - Classic HRMS 50 (up to 50 users)
License Plan is inclusive of:
6 Core Modules
- Employee Data Management 
- Leave Management
- Payroll Management
- Expense Management
- Time & Attendance
- Performance Management
Supported with AI-powered chatbot assistant and file
storage for storing employee documents, payslips,
corporate handbook, and reports.
2) Hardware
Not Applicable
3)
Professional Services
- Administrative Management
- Onboarding, Implementation & Services
4)
Training
Online User Training:
For administrators and employees
5) Others
Not Applicable"
Option 4,Classic HRMS 100,"$11,100.00","$11,100.00",https://www.gobusiness.gov.sg/images/psg/Yuvo_Desensitised_Annex_3__Part_4.pdf,"1)
Software
Yuvo - Classic HRMS 100 (up to 100 users)
License Plan is inclusive of:
6 Core Modules
- Employee Data Management 
- Leave Management
- Payroll Management
- Expense Management
- Time & Attendance
- Performance Management
Supported with AI-powered chatbot assistant and file
storage for storing employee documents, payslips,
corporate handbook, and reports.
2) Hardware
Not Applicable
3)
Professional Services
- Administrative Management
- Onboarding, Implementation & Services
4)
Training
Online User Training:
For administrators and employees
5) Others
Not Applicable"
Option 5,Classic HRMS 200,"$20,700.00","$20,700.00",https://www.gobusiness.gov.sg/images/psg/Yuvo_Desensitised_Annex_3__Part_5.pdf,"1)
Software
Yuvo - Classic HRMS 200 (up to 200 users)
License Plan is inclusive of:
6 Core Modules
- Employee Data Management 
- Leave Management
- Payroll Management
- Expense Management
- Time & Attendance
- Performance Management
Supported with AI-powered chatbot assistant and file
storage for storing employee documents, payslips,
corporate handbook, and reports.
2) Hardware
Not Applicable
3)
Professional Services
- Administrative Management
- Onboarding, Implementation & Services
4)
Training
Online User Training: 
For administrators and employees
5) Others
Not Applicable"
Option 1,ASURIX HRMS - Package (10 users) ,"$5,700.00","$5,700.00",https://www.gobusiness.gov.sg/images/psg/Net_Solutions_Desensitised_Annex_3_Part_1.pdf,"1)
Software
Asurix Human Resource Software subscription of 10
employees for one year Modules include: Employee
Self Service, Employee Master, Leave, Claim,
Payroll & Appraisal
2) Hardware
Not Applicable
3)
Professional Services
Implementation/setup Modules include: Employee
Master, Payroll, Bank 
Total: 3 man day
Implementation/setup Modules include: Leave,
Claim, Appraisal, Approval Workflow, Mobile App
Total: 3 man day
4)
Training
Onsite software usage training
5) Others
Not Applicable"
Option 2,ASURIX HRMS - Package (25 users) ,"$8,750.00","$8,200.00",https://www.gobusiness.gov.sg/images/psg/Net_Solutions_Desensitised_Annex_3_Part_2.pdf,"1)
Software
Asurix Human Resource Software subscription of 25
employees for one year Modules include: Employee
Self Service, Employee Master, Leave, Claim,
Payroll & Appraisal
2) Hardware
Not Applicable
3)
Professional Services
Implementation/setup Modules include: Employee
Master, Payroll, Bank 
Total: 3 man day
Implementation/setup Modules include: Leave,
Claim, Appraisal, Approval Workflow, Mobile App
Total: 4 man day
4)
Training
Onsite software usage training
5) Others
Not Applicable"
Option 3,ASURIX HRMS - Package (50 users),"$12,350.00","$11,200.00",https://www.gobusiness.gov.sg/images/psg/Net_Solutions_Desensitised_Annex_3_Part_3.pdf,"1)
Software
Asurix Human Resource Software subscription of 50
employees for one year Modules include: Employee
Self Service, Employee Master, Leave, Claim,
Payroll & Appraisal
2) Hardware
Not Applicable
3)
Professional Services
Implementation/setup Modules include: Employee
Master, Payroll, Bank 
Total: 3 man day
Implementation/setup Modules include: Leave,
Claim, Appraisal, Approval Workflow, Mobile App
Total: 4 man day
4)
Training
Onsite software usage training
5) Others
Not Applicable"
Option 4,ASURIX HRMS - Package (100 users),"$19,600.00","$17,200.00",https://www.gobusiness.gov.sg/images/psg/Net_Solutions_Desensitised_Annex_3_Part_4.pdf,"1)
Software
Asurix Human Resource Software subscription of
100 employees for one year Modules include:
Employee Self Service, Employee Master, Leave,
Claim, Payroll & Appraisal
2) Hardware
Not Applicable
3)
Professional Services
Implementation/setup Modules include: Employee
Master, Payroll, Bank 
Total: 4 man day 
Implementation/setup Modules include: Leave,
Claim, Appraisal, Approval Workflow, Mobile App
Total: 4 man day
4)
Training
Onsite software usage training
5) Others
Not Applicable"
Option 5,ASURIX HRMS - Package (150 users),"$26,850.00","$23,200.00",https://www.gobusiness.gov.sg/images/psg/Net_Solutions_Desensitised_Annex_3_Part_5.pdf,"1)
Software
Asurix Human Resource Software subscription of
150 employees for one year Modules include:
Employee Self Service, Employee Master, Leave,
Claim, Payroll & Appraisal
2) Hardware
Not Applicable
3)
Professional Services
Implementation/setup Modules include: Employee
Master, Payroll, Bank 
Total: 4 man day
Implementation/setup Modules include: Leave,
Claim, Appraisal, Approval Workflow, Mobile App
Total: 5 man day
4)
Training
Onsite software usage training
5) Others
Not Applicable"
Option 1,START HRMS (10 Headcounts),"$2,700.00","$2,500.00",https://www.gobusiness.gov.sg/images/psg/Enable_Desensitised_Annex_3_Part_1.pdf,"1)
Software
Subscription Contract for [QuickHR] START
Package
Subscription Headcounts: 1 to 10 Headcounts
Subscription Duration: 12 Months (1 Year)
Subscription Modules include:
(a)    QuickEmployee (Personnel Mgmt)
(b)    QuickPayroll (Payroll Mgmt)
(c)    QuickLeave (Leave Mgmt)
(d)    QuickClaim (Claim & Benefits Mgmt)
(e)    QuickAppraisal (Appraisal Mgmt)
(f)    QuickDashboards (Data Visualisation)
(g)    QuickReports (Excel & PDF exports)
(h)    QuickMobile (iOS, Android & Huawei)
Subscription Features include:
(a)    Singpass Login
(b)   Employee Self-Service
(c)    GIRO, CPF, IRAS (AIS) Submission
(d)    MOM Itemised Payslips
(e)    MOM & PDPA Compliance
(f)    Supports Attendance/ Scheduling Integ.
(g)   Supports Accounting S/W Integ.
(h)   Notifications & Reminders
2) Hardware
Not Applicable
3)
Professional Services
1 Man-Day: Data Migration of Current Year
Employee Data for up to 10 Headcounts
1 Man-Day: Implementation & Account Setup for 1
Corporate Entity
4)
Training
1 Session: Comprehensive Training for
Administrators & Key Users for up to 3 Hours
5) Others
Not Applicable"
Option 2,SPROUT HRMS (50 Headcounts),"$8,000.00","$7,800.00",https://www.gobusiness.gov.sg/images/psg/Enable_Desensitised_Annex_3_Part_2.pdf,"1)
Software
Subscription Contract for [QuickHR] SPROUT
Package
Subscription Headcounts: 11 to 50 Headcounts
Subscription Duration: 12 Months (1 Year)
Subscription Modules include:
(a)    QuickEmployee (Personnel Mgmt)
(b)    QuickPayroll (Payroll Mgmt)
(c)    QuickLeave (Leave Mgmt)
(d)    QuickClaim (Claim & Benefits Mgmt)
(e)    QuickAppraisal (Appraisal Mgmt)
(f)    QuickDashboards (Data Visualisation)
(g)    QuickReports (Excel & PDF exports)
(h)    QuickMobile (iOS, Android & Huawei)
Subscription Features include:
(a)    Singpass Login
(b)   Employee Self-Service
(c)    GIRO, CPF, IRAS (AIS) Submission
(d)    MOM Itemised Payslips
(e)    MOM & PDPA Compliance
(f)    Supports Attendance/ Scheduling Integ.
(g)   Supports Accounting S/W Integ.
(h)   Notifications & Reminders
2) Hardware
Not Applicable
3)
Professional Services
1 Man-Day: Data Migration of Current Year
Employee Data for up to 50 Headcounts
2 Man-Days: Scoping, Implementation & Account
Setup for 1 Corporate Entity
4)
Training
1 Session: Comprehensive Training for
Administrators & Key Users for up to 3 Hours
5) Others
Not Applicable"
Option 3,SPRING HRMS (100 Headcounts),"$14,000.00","$13,800.00",https://www.gobusiness.gov.sg/images/psg/Enable_Desensitised_Annex_3_Part_3.pdf,"1)
Software
Subscription Contract for [QuickHR] SPRING
Package
Subscription Headcounts: 51 to 100 Headcounts
Subscription Duration: 12 Months (1 Year)
Subscription Modules include:
(a)    QuickEmployee (Personnel Mgmt)
(b)    QuickPayroll (Payroll Mgmt)
(c)    QuickLeave (Leave Mgmt)
(d)    QuickClaim (Claim & Benefits Mgmt)
(e)    QuickAppraisal (Appraisal Mgmt)
(f)    QuickDashboards (Data Visualisation)
(g)    QuickReports (Excel & PDF exports)
(h)    QuickMobile (iOS, Android & Huawei)
Subscription Features include:
(a)    Singpass Login
(b)   Employee Self-Service
(c)    GIRO, CPF, IRAS (AIS) Submission
(d)    MOM Itemised Payslips
(e)    MOM & PDPA Compliance
(f)    Supports Attendance/ Scheduling Integ.
(g)   Supports Accounting S/W Integ.
(h)   Notifications & Reminders
2) Hardware
Not Applicable
3)
Professional Services
1 Man-Day: Data Migration of Current Year
Employee Data for up to 100 Headcounts
2 Man-Days: Scoping, Implementation & Account
Setup for 1 Corporate Entity
4)
Training
1 Session: Comprehensive Training for
Administrators & Key Users for up to 3 Hours
5) Others
Not Applicable"
Option 4,SCALE HRMS (150 Headcounts),"$20,000.00","$19,800.00",https://www.gobusiness.gov.sg/images/psg/Enable_Desensitised_Annex_3_Part_4.pdf,"1)
Software
Subscription Contract for [QuickHR] SCALE
Package
Subscription Headcounts: 101 to 150 Headcounts
Subscription Duration: 12 Months (1 Year)
Subscription Modules include:
(a)    QuickEmployee (Personnel Mgmt)
(b)    QuickPayroll (Payroll Mgmt)
(c)    QuickLeave (Leave Mgmt)
(d)    QuickClaim (Claim & Benefits Mgmt)
(e)    QuickAppraisal (Appraisal Mgmt)
(f)    QuickDashboards (Data Visualisation)
(g)    QuickReports (Excel & PDF exports)
(h)    QuickMobile (iOS, Android & Huawei)
Subscription Features include:
(a)    Singpass Login
(b)   Employee Self-Service
(c)    GIRO, CPF, IRAS (AIS) Submission
(d)    MOM Itemised Payslips
(e)    MOM & PDPA Compliance
(f)    Supports Attendance/ Scheduling Integ.
(g)   Supports Accounting S/W Integ.
(h)   Notifications & Reminders
2) Hardware
Not Applicable
3)
Professional Services
1 Man-Day: Data Migration of Current Year
Employee Data for up to 150 Headcounts
2 Man-Days: Scoping, Implementation & Account
Setup for 1 Corporate Entity
4)
Training
1 Session: Comprehensive Training for
Administrators & Key Users for up to 3 Hours
5) Others
Not Applicable"
